Timestamp,Temperature,Humidity,WaveLength1,WaveLength2,Occupants,Activity,DoorState,WindowState,Group
2017-01-25 14:05:00,22.108615384615366,41.09964615384615,170.8578461538462,545.4184615384614,0.0,0.0,0.0,0.0,0.0
2017-01-25 14:06:00,22.093733333333322,41.11869333333331,170.34293333333338,544.3333333333335,0.0,0.0,0.0,0.0,0.0
2017-01-25 14:07:00,22.077866666666665,41.13160000000002,169.92386666666664,541.0826666666669,0.0,0.0,0.0,0.0,0.0
2017-01-25 14:08:00,22.062,41.13534666666668,169.5616,535.0719999999997,0.0,0.0,0.0,0.0,0.0
2017-01-25 14:09:00,22.05053333333334,41.100893333333346,169.02893333333333,531.0239999999997,0.0,0.0,0.0,0.0,0.0
2017-01-25 14:10:00,22.037733333333346,41.05607999999999,168.076,524.0933333333335,1.0,3.0,1.0,0.0,0.0
2017-01-25 14:11:00,22.03786666666667,41.1004,168.0945333333333,522.9893333333332,1.0,3.0,0.0,0.0,0.0
2017-01-25 14:12:00,22.033866666666672,41.14933333333335,167.84639999999996,524.0319999999998,1.0,3.0,0.0,0.0,0.0
2017-01-25 14:13:00,22.02280000000001,41.1822533333333,168.26626666666667,525.5039999999999,1.0,3.0,0.0,0.0,0.0
2017-01-25 14:14:00,22.016891891891902,41.23579729729734,168.3587837837838,524.5243243243242,1.0,3.0,0.0,0.0,0.0
2017-01-25 14:15:00,22.007368421052632,41.350500000000025,167.98789473684207,525.2473684210526,1.0,3.0,0.0,0.0,0.0
2017-01-25 14:16:00,22.011466666666664,41.54858666666667,168.1712,525.1973333333334,1.0,3.0,0.0,0.0,0.0
2017-01-25 14:17:00,22.005200000000006,41.37294666666669,167.79013333333333,523.1119999999999,1.0,3.0,0.0,0.0,0.0
2017-01-25 14:18:00,22.000666666666667,41.42098666666667,167.8090666666666,524.032,1.0,3.0,0.0,0.0,0.0
2017-01-25 14:19:00,21.994400000000006,41.488400000000006,168.15226666666666,525.8106666666666,1.0,3.0,0.0,0.0,0.0
2017-01-25 14:20:00,21.992666666666672,41.49609333333334,168.47613333333334,529.1839999999999,1.0,3.0,1.0,0.0,0.0
2017-01-25 14:21:00,21.97639999999999,41.49827999999998,168.24800000000008,528.0186666666666,0.0,0.0,0.0,0.0,0.0
2017-01-25 14:22:00,21.95973333333333,41.541040000000045,168.2098666666667,524.8293333333332,0.0,0.0,0.0,0.0,0.0
2017-01-25 14:23:00,21.9496,41.53137333333337,167.77120000000002,522.1306666666669,0.0,0.0,0.0,0.0,0.0
2017-01-25 14:24:00,21.94106666666667,41.52480000000001,167.6568,521.456,0.0,0.0,0.0,0.0,0.0
2017-01-25 14:25:00,21.93411764705882,41.52452941176471,165.46176470588233,515.1999999999999,0.0,0.0,0.0,0.0,0.0
2017-01-25 14:26:00,21.91900000000001,41.51480000000001,168.00000000000009,522.4680000000001,0.0,0.0,0.0,0.0,1.0
2017-01-25 14:27:00,21.910666666666668,41.51716000000002,167.39,519.4933333333333,0.0,0.0,0.0,0.0,1.0
2017-01-25 14:28:00,21.90466666666667,41.53656,166.89506666666668,515.3226666666665,0.0,0.0,0.0,0.0,1.0
2017-01-25 14:29:00,21.895200000000006,41.54473333333334,166.4385333333334,509.92533333333347,0.0,0.0,0.0,0.0,1.0
2017-01-25 14:30:00,21.886666666666677,41.53020000000001,166.0958666666667,507.53333333333336,0.0,0.0,0.0,0.0,1.0
2017-01-25 14:31:00,21.884933333333336,41.51283999999999,164.89586666666673,501.8293333333334,1.0,3.0,1.0,0.0,1.0
2017-01-25 14:32:00,21.88813333333334,41.47831999999999,164.5336,499.1306666666666,1.0,3.0,0.0,0.0,1.0
2017-01-25 14:33:00,21.894666666666673,41.82440000000003,164.6670666666667,497.9653333333334,1.0,3.0,0.0,0.0,1.0
2017-01-25 14:34:00,21.897600000000008,41.59876000000001,164.03786666666664,496.0026666666668,1.0,3.0,0.0,0.0,1.0
2017-01-25 14:35:00,21.895200000000006,41.629026666666675,164.4757333333333,497.4133333333334,1.0,3.0,0.0,0.0,1.0
2017-01-25 14:36:00,21.895866666666677,41.63934666666669,164.19039999999998,493.0586666666667,1.0,3.0,0.0,0.0,1.0
2017-01-25 14:37:00,21.900000000000016,41.68949333333335,164.15280000000007,492.2613333333334,1.0,3.0,0.0,0.0,1.0
2017-01-25 14:38:00,21.900933333333352,41.71313333333335,163.44800000000004,491.03466666666674,1.0,3.0,0.0,0.0,1.0
2017-01-25 14:39:00,21.89866666666668,41.772466666666666,163.58133333333342,490.3599999999999,1.0,3.0,0.0,0.0,1.0
2017-01-25 14:40:00,21.90333333333335,41.776333333333326,163.7336000000001,490.72800000000007,1.0,3.0,0.0,0.0,1.0
2017-01-25 14:41:00,21.90333333333335,41.76879999999998,163.4482666666667,492.99733333333336,1.0,3.0,1.0,0.0,1.0
2017-01-25 14:42:00,21.89573333333335,41.75858666666664,163.52480000000003,493.1813333333334,0.0,0.0,0.0,0.0,1.0
2017-01-25 14:43:00,21.885866666666672,41.74941333333335,163.14346666666668,489.50133333333343,0.0,0.0,0.0,0.0,1.0
2017-01-25 14:44:00,21.87746666666667,41.758026666666666,162.87693333333343,485.82133333333314,0.0,0.0,0.0,0.0,1.0
2017-01-25 14:45:00,21.868799999999997,41.734186666666666,162.4004,480.85333333333324,0.0,0.0,0.0,0.0,1.0
2017-01-25 14:46:00,21.862333333333332,41.73256666666667,162.00033333333334,476.86666666666673,0.0,0.0,0.0,0.0,1.0
