Timestamp,Temperature,Humidity,WaveLength1,WaveLength2,Occupants,Activity,DoorState,WindowState,Group,Index
2016-03-15 08:40:00,20.646875000000005,40.42849999999999,192.57183333333344,560.4333333333336,0.0,0.0,0.0,0.0,0.0,0
2016-03-15 08:50:00,20.638916666666674,40.46584166666666,193.76124999999996,569.2883333333334,0.0,0.0,0.0,0.0,0.0,1
2016-03-15 09:00:00,20.661350574712635,40.47740833333332,197.28616666666673,586.8869841269841,0.0,0.0,0.0,0.0,0.0,2
2016-03-15 09:10:00,20.72441666666666,40.446659153005456,200.13108333333332,611.7233333333331,0.0,0.0,0.0,0.0,0.0,3
2016-03-15 09:20:00,20.77908606557377,40.43725655737705,202.33762711864398,634.8383333333336,1.0,1.0,0.0,0.0,0.0,4
2016-03-15 09:30:00,20.939162568306,41.47266284153005,200.51133333333337,625.1783333333335,2.0,2.0,0.0,0.0,0.0,5
2016-03-15 09:40:00,20.972499999999997,42.45393019125683,203.2994139344262,635.2090983606556,2.0,1.0,0.0,0.0,0.0,6
2016-03-15 09:50:00,20.972756467439787,43.09376539548023,204.82459016393446,640.6100648112845,2.0,1.0,0.0,0.0,0.0,7
2016-03-15 10:00:00,20.992719945355205,43.61525805539852,205.25754098360653,646.8938524590164,2.0,1.0,0.0,0.0,0.0,8
2016-03-15 10:10:00,21.046749999999996,44.313416666666676,202.78680327868852,643.2363156432342,2.0,3.0,0.0,0.0,0.0,9
2016-03-15 10:20:00,21.10838276836158,44.85358208955226,204.34743502824858,654.2872727272729,2.0,3.0,0.0,0.0,0.0,10
2016-03-15 10:30:00,21.026299180327868,44.51457663934427,206.95274999999998,648.6383333333335,0.0,0.0,0.0,0.0,0.0,11
2016-03-15 10:40:00,20.96966666666667,43.99046666666666,205.2381666666667,635.6433333333332,0.0,0.0,0.0,0.0,0.0,12
2016-03-15 10:50:00,20.945677966101698,43.60504918032788,210.5105043067519,674.1204779105309,0.0,0.0,0.0,0.0,0.0,13
2016-03-15 11:00:00,20.926250000000007,43.285544444444454,208.11808333333332,655.6022222222223,0.0,0.0,0.0,0.0,1.0,14
2016-03-15 11:10:00,20.926837301587305,43.08602704918033,206.24350282485887,642.6830225988699,0.0,0.0,0.0,0.0,1.0,15
2016-03-15 11:20:00,20.941759887005645,42.999275,204.38283050847457,630.507966101695,0.0,0.0,0.0,0.0,1.0,16
2016-03-15 11:30:00,20.944272598870043,42.943506830601116,203.65000584453537,633.1516666666668,0.0,0.0,0.0,0.0,1.0,17
2016-03-15 11:40:00,21.025618644067787,43.17133602150538,207.07233333333335,660.0233333333332,1.0,1.0,0.0,0.0,1.0,18
2016-03-15 11:50:00,21.07322814207651,43.34629505005564,217.00033743169408,732.4469398907104,1.0,1.0,0.0,0.0,1.0,19
2016-03-15 12:00:00,21.067562146892662,43.68521087570622,220.37580191256828,779.1614480874314,1.0,2.0,0.0,0.0,1.0,20
2016-03-15 12:10:00,21.081954949944382,43.54441539316477,256.3543045977012,1066.967356321839,0.0,0.0,0.0,0.0,1.0,21
2016-03-15 12:20:00,21.11833333333334,43.31510833333331,268.4879166666666,1171.2366666666667,0.0,0.0,0.0,0.0,1.0,22
2016-03-15 12:30:00,21.157213114754107,43.02966101694916,245.424745762712,984.4779661016952,0.0,0.0,0.0,0.0,2.0,23
2016-03-15 12:40:00,21.12995081967214,43.0455319672131,217.92737704918028,766.050819672131,1.0,1.5,0.0,0.0,2.0,24
2016-03-15 12:50:00,21.261083333333325,44.20580000000001,205.83273224043717,678.9983333333334,2.0,3.0,0.0,0.0,2.0,25
2016-03-15 13:00:00,21.141056497175146,44.09801010928961,203.08333333333331,638.9978248587572,0.0,0.0,0.0,0.0,2.0,26
2016-03-15 14:30:00,21.077931034482763,43.03593103448275,202.45,608.0295081967215,0.0,0.0,0.0,0.0,3.0,35
2016-03-15 14:40:00,21.06214480874317,43.022664344262296,205.39787643678156,639.9710344827586,0.0,0.0,0.0,0.0,3.0,36
2016-03-15 14:50:00,21.114855850763142,43.00585570944038,207.02697457627121,659.9882485875705,2.0,1.0,0.0,0.0,3.0,37
2016-03-15 15:00:00,21.370007062146904,43.65442740112995,209.92051977401124,697.4412146892655,2.0,3.0,0.0,0.0,3.0,38
2016-03-15 15:10:00,21.410775862068977,44.25903939714438,197.20451886276655,579.3654729360305,2.0,4.0,0.0,0.0,3.0,39
2016-03-15 15:20:00,21.422546448087438,44.67289971751413,194.34461378160597,548.2542665108124,2.0,4.0,0.0,0.0,3.0,40
2016-03-15 15:30:00,21.276522046353865,44.571015355603436,193.13475564971756,545.8660382513661,0.0,0.0,0.0,0.0,3.0,41
2016-03-15 15:40:00,21.228852459016384,44.34628333333333,192.22606557377057,548.78,0.0,0.0,0.0,0.0,3.0,42
2016-03-15 15:50:00,21.159610655737715,44.046931292188994,191.36301611558764,541.750013892748,0.0,0.0,0.0,0.0,4.0,43
2016-03-15 16:00:00,21.14994696969697,43.98486666666669,190.10716666666664,534.1366666666667,0.0,0.0,0.0,0.0,4.0,44
2016-03-15 16:10:00,21.125774309723887,43.806780637254896,189.18076948812308,524.8820251177392,1.0,2.0,0.0,0.0,4.0,45
2016-03-15 16:20:00,21.251762295081953,44.54309234972678,185.17783333333335,502.6403107344631,2.0,4.0,0.0,0.0,4.0,46
2016-03-15 16:30:00,21.144098360655743,44.705838709677415,143.01135135135132,370.9837837837839,0.0,0.0,0.0,0.0,4.0,47
2016-03-16 08:40:00,20.596500000000013,41.18510000000001,230.47533333333328,806.5333333333333,0.0,0.0,0.0,0.0,5.0,144
